Millenium,2023,2022,2021,2020,2019
Fatturato,218.044,287.090,136.868,23.799,43.066
Proventi dalle attività ordinarie,226.691,290.231,136.871,28.394,46.117
Risultato operativo,11.978,18.680,10.189,2.691,6.053
Costo dell'indebitamento finanziario netto,9.372,2.906,31,476,386
Risultato delle aziende associate al bilancio di Gruppo,272,-326,111,,
Risultato netto delle attività dismesse,146,859,360,,
Utile netto,209,11.506,6.729,672,5.086
Utile netto: quota del gruppo,63,10.647,6.369,673,5.086
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
