Millenium,2023,2022,2021,2020,2019
Fatturato,18.436,30.309,11.739,6.390,8.198
Proventi dalle attività ordinarie,18.652,30.465,11.939,6.504,8.311
Risultato operativo,796,556,466,239,174
Costo dell'indebitamento finanziario netto,5,-23,8,10,18
Risultato delle aziende associate al bilancio di Gruppo,53,44,26,14,6
Risultato netto delle attività dismesse,14,29,1,-158,-562
Utile netto,596,182,430,33,-421
Utile netto: quota del gruppo,515,151,413,19,-436
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
