Millenium,2023,2022,2021,2020,2019
Fatturato,473.204,548.574,541.293,452.639,479.986
Proventi dalle attività ordinarie,473.204,548.574,541.293,452.639,482.095
Risultato operativo,21.538,27.321,9.927,10.664,17.052
Costo dell'indebitamento finanziario netto,4.712,2.231,1.825,2.585,1.957
Risultato delle aziende associate al bilancio di Gruppo,0,0,15.649,-494,-617
Risultato netto delle attività dismesse,,,,,
Utile netto,11.271,18.180,17.472,4.145,7.377
Utile netto: quota del gruppo,9.775,16.608,12.119,-1.787,3.061
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
