Millenium,2023,2022,2021,2020,2019
Fatturato,154.933,232.173,81.356,67.762,84.770
Proventi dalle attività ordinarie,160.800,235.361,84.804,75.488,93.544
Risultato operativo,47.910,65.471,10.703,-107.459,4.566
Costo dell'indebitamento finanziario netto,4.274,3.049,2.340,2.058,1.467
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,49.218,3.351,3.143,-34.222,-618
Utile netto: quota del gruppo,49.219,3.354,3.146,-34.222,-623
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
