Millenium,2023,2022,2021,2020,2019
Fatturato,283.829,220.285,122.302,73.635,279.711
Proventi dalle attività ordinarie,283.829,220.285,122.302,73.635,279.711
Risultato operativo,44.824,9.219,28.508,-34.318,55.830
Costo dell'indebitamento finanziario netto,10.442,1.273,12.982,220,13.380
Risultato delle aziende associate al bilancio di Gruppo,,,,,3.768
Risultato netto delle attività dismesse,16.500,0,4.600,,
Utile netto,45.469,-5.760,44.081,-34.152,34.328
Utile netto: quota del gruppo,45.468,-5.599,44.359,-33.943,34.425
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
