Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,36.199,29.658,23.707.397,16.499.207,13.180.745
Oneri generali d'esercizio,15.098,13.044,8.672.511,7.246.916,6.805.600
Risultato di gestione lordo,21.101,15.540,14.090.206,8.396.769,5.536.263
Costo del rischio,-1.346,-24,-214.231,-1.063.511,-6.676
Risultato di gestione,19.755,15.516,13.875.975,7.333.258,5.529.587
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato corrente ante imposte,22.001,16.470,13.926.103,8.109.828,6.280.131
Utile netto,15.067,10.885,9.453.364,5.327.925,4.187.404
Utile netto: quota del gruppo,15.067,10.885,9.453.364,5.327.925,4.187.404
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
