Millenium,2013,2012,2011,2010,2009
Fatturato,23.407.000,29.503.000,29.957.000,27.571.000,27.163.000
Income from ordinary activities,23.731.000,29.801.000,30.256.000,27.826.000,27.445.000
Risultato operativo,2.718.000,1.926.000,-603.000,5.813.000,5.493.000
Cost of net financial indebtedness,-2.183.000,-1.966.000,-1.998.000,-2.074.000,-2.170.000
Risultato delle aziende associate al bilancio di g,,-6.000,-39.000,99.000,67.000
Net profit from discontinued activities,341.000,2.000,-13.000,-7.000,-622.000
Utile netto,-238.000,-1.277.000,-4.280.000,3.572.000,1.596.000
Utile netto: quota del gruppo,-674.000,-1.627.000,-4.726.000,3.121.000,1.581.000
Chiusura esercizio fiscale,1213,1212,1211,121,1209
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Exercices aux normes IAS-IFRS à compter de l'exercice 2004.,Exercices aux normes IAS-IFRS à compter de l'exercice 2004.,Exercices aux normes IAS-IFRS à compter de l'exercice 2004.,Exercices aux normes IAS-IFRS à compter de l'exercice 2004.,Exercices aux normes IAS-IFRS à compter de l'exercice 2004.
