Millenium,2023,2022,2021,2020,2019
Fatturato,332.758,312.711,241.635,213.756,250.148
Proventi dalle attività ordinarie,332.758,312.711,241.635,213.756,250.148
Risultato operativo,41.099,46.111,31.620,7.551,30.557
Costo dell'indebitamento finanziario netto,4.343,1.710,1.131,1.077,1.324
Risultato delle aziende associate al bilancio di Gruppo,-21,-6,-6,933,-25
Risultato netto delle attività dismesse,,,,,
Utile netto,24.376,30.037,20.330,8.581,21.053
Utile netto: quota del gruppo,24.376,30.037,20.330,8.581,21.053
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
