Millenium,2023,2022,2021,2020,2019
Fatturato,158.470,133.662,86.950,44.664,39.225
Acquisti consumati,16.483,11.964,8.802,5.409,
Spese per il personale,61.836,46.987,32.970,21.268,19.901
Risultato d'esercizio,14.350,28.449,18.330,3.145,2.320
Imposte sugli utili,4.802,7.870,5.986,904,770
Utile netto,6.091,14.549,11.102,1.758,1.100
Utile netto: quota del gruppo,6.284,14.653,11.086,1.758,1.093
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
