Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,5.393.169,3.929.819,3.601.979,2.637.538,2.412.931
Oneri generali d'esercizio,3.197.303,2.929.381,2.573.395,1.687.910,1.699.466
Risultato di gestione lordo,2.195.866,1.000.438,748.467,782.207,528.389
Costo del rischio,-436.318,-606.501,-900.120,-565.409,-461.463
Risultato di gestione,1.759.548,393.937,-151.653,216.798,66.926
Risultato delle aziende associate al bilancio di Gruppo,46.270,19.145,10.802,-2.945,7.213
Risultato corrente ante imposte,1.724.643,1.388.095,692.871,196.735,416.898
Utile netto,1.551.769,1.473.880,558.649,261.926,394.452
Utile netto: quota del gruppo,1.519.496,1.448.975,525.123,236.925,379.583
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
