Millenium,2023,2022,2021
Fatturato,58.497.148,51.020.946,31.142.458
Acquisti consumati,22.078.556,21.984.037,11.069.804
Spese per il personale,12.864.934,11.094.047,9.700.527
Risultato d'esercizio,9.470.891,5.422.738,1.828.361
Imposte sugli utili,2.252.924,1.678.249,503.620
Utile netto,6.705.640,3.638.755,1.275.624
Utile netto: quota del gruppo,6.705.640,3.638.755,1.275.624
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP
