Millenium,2022,2021,2020,2019,2018
Fatturato,118.000,132.238,149.180,133.223,77.008
Proventi dalle attività ordinarie,118.000,132.238,149.180,133.223,77.008
Risultato operativo,19.332,35.960,30.549,20.055,-1.345
Costo dell'indebitamento finanziario netto,5.608,-4.201,-4.265,-628,-32
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,9.635,28.656,31.936,14.949,-1.513
Utile netto: quota del gruppo,9.683,28.546,32.025,14.970,-1.513
Chiusura esercizio fiscale,2023-06-30,2022-06-30,2021-06-30,2020-06-30,2019-06-30
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
