Millenium,2023,2022,2021
Fatturato,13.882.480,11.293.823,
Acquisti consumati,6.793.694,2.681.635,
Spese per il personale,2.133.485,1.374.608,
Risultato d'esercizio,2.263.479,3.922.171,
Imposte sugli utili,714.130,1.063.336,
Utile netto,1.581.881,2.617.622,
Utile netto: quota del gruppo,1.581.881,2.617.622,
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità
Principi Contabili,Local GAAP,Local GAAP,Local GAAP
