Millenium,2023,2022,2021,2020,2019
Fatturato,271.941,245.446,229.937,224.463,221.388
Proventi dalle attività ordinarie,274.054,248.568,230.519,225.003,222.333
Risultato operativo,125.957,103.823,91.105,89.405,90.093
Costo dell'indebitamento finanziario netto,4.957,1.660,1.082,905,978
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,86.721,73.690,65.384,64.008,63.361
Utile netto: quota del gruppo,86.721,73.690,65.384,64.008,63.361
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
