Millenium,2023,2022,2021,2020,2019
Fatturato,9.981,9.226,8.347,6.506,5.240
Proventi dalle attività ordinarie,10.406,11.584,8.347,6.506,5.240
Risultato operativo,-3.685,-2.636,-4.266,-2.914,-3.602
Costo dell'indebitamento finanziario netto,894,356,353,588,524
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-4.091,-2.856,-3.218,-2.742,-3.173
Utile netto: quota del gruppo,-4.091,-2.856,-3.218,-2.742,-3.173
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
