Millenium,2023,2022,2021,2020,2019
Fatturato,326.261,393.305,380.521,320.731,352.207
Proventi dalle attività ordinarie,326.261,393.305,380.521,320.731,352.207
Risultato operativo,-25.219,10.557,24.330,19.616,24.733
Costo dell'indebitamento finanziario netto,5.576,3.005,3.104,2.634,2.749
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-23.388,11.213,8.243,13.225,19.928
Utile netto: quota del gruppo,-23.388,11.213,8.243,13.225,19.928
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
