Millenium,2023,2022,2021,2020,2019
Fatturato,29.206,27.984,32.533,31.244,26.768
Acquisti consumati,123,1.572,994,1.259,1.488
Spese per il personale,12.115,12.391,11.749,12.073,10.978
Risultato d'esercizio,-3.054,1.251,466,161,-2.037
Imposte sugli utili,-921,-1.302,284,177,-534
Utile netto,-2.388,2.500,169,301,-1.492
Utile netto: quota del gruppo,-2.388,2.500,169,301,-1.492
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
