Millenium,2023,2022,2021,2020,2019
Fatturato,41.908,46.375,43.653,33.612,47.934
Proventi dalle attività ordinarie,43.020,47.468,,,
Risultato operativo,-4.468,-2.052,,,
Costo dell'indebitamento finanziario netto,915,478,,,
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,-6.706,-3.249,-1.903,-7.813,-8.422
Utile netto: quota del gruppo,-6.706,-3.248,-1.902,-7.806,-8.415
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,Local GAAP,Local GAAP,Local GAAP
