Millenium,2023,2022,2021,2020,2019
Fatturato,5.320,6.282,4.880,3.940,1.921
Acquisti consumati,10,9,12,12,9
Spese per il personale,858,550,337,188,172
Risultato d'esercizio,62,911,436,630,332
Imposte sugli utili,86,281,147,208,91
Utile netto,-7,603,282,419,240
Utile netto: quota del gruppo,-19,603,284,419,240
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
