Millenium,2023,2022,2021,2020,2019
Fatturato,250.370,176.000,0,0,827
Acquisti consumati,6.197,6.048,465,,
Spese per il personale,240.479,445.779,22.759,0,0
Risultato d'esercizio,-628.499,-837.215,-145.517,-106,-126
Imposte sugli utili,-69.582,-237.924,-180.000,0,49
Utile netto,-234.904,-373.698,34.483,-106,-1.187
Utile netto: quota del gruppo,-234.904,-373.698,34.483,-106,-1.187
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità,EUR - migliaia,EUR - migliaia
Principi Contabili,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
