Millenium,2023,2022,2021,2020,2019
Fatturato,15.291,14.713,14.135,13.410,13.784
Proventi dalle attività ordinarie,15.291,14.713,14.135,13.410,13.784
Risultato operativo,931,829,787,494,993
Costo dell'indebitamento finanziario netto,114,126,159,165,188
Risultato delle aziende associate al bilancio di Gruppo,148,142,138,26,183
Risultato netto delle attività dismesse,,,,2,100
Utile netto,695,932,587,243,822
Utile netto: quota del gruppo,658,927,586,241,822
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
