Millenium,2023,2022,2021,2020,2019
Fatturato,1.994.585,2.087.443,1.668.689,1.313.690,1.521.325
Proventi dalle attività ordinarie,1.994.585,2.087.443,1.668.689,1.313.690,1.521.325
Risultato operativo,180.666,158.740,112.574,70.856,104.546
Costo dell'indebitamento finanziario netto,46.832,25.202,24.136,26.198,24.840
Risultato delle aziende associate al bilancio di Gruppo,-738,-892,642,529,1.030
Risultato netto delle attività dismesse,,,,,
Utile netto,91.052,84.889,60.054,31.322,46.749
Utile netto: quota del gruppo,91.052,84.889,60.054,31.322,46.749
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
