Millenium,2023,2022,2021,2020,2019
Fatturato,26.187,17.407,12.952,6.365,7.314
Acquisti consumati,397,349,345,161,152
Spese per il personale,7.543,5.698,4.453,2.095,1.852
Risultato d'esercizio,1.465,876,767,-1.660,713
Imposte sugli utili,262,204,14,-564,82
Utile netto,508,228,345,-1.412,235
Utile netto: quota del gruppo,508,228,345,-1.412,235
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
