Millenium,2023,2022,2021,2020,2019
Fatturato,395.777,357.163,301.546,269.084,258.723
Proventi dalle attività ordinarie,395.777,357.163,,,
Risultato operativo,52.397,51.613,,,
Costo dell'indebitamento finanziario netto,7.796,2.784,,,
Risultato delle aziende associate al bilancio di Gruppo,-180,-246,,,
Risultato netto delle attività dismesse,35.614,45.527,,,
Utile netto,69.861,78.127,38.675,37.778,28.779
Utile netto: quota del gruppo,62.995,75.726,37.471,37.143,28.182
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,Local GAAP,Local GAAP,Local GAAP
