Millenium,2023,2022,2021,2020,2019
Fatturato,1.051.300,1.064.000,1.070.700,969.600,1.159.200
Proventi dalle attività ordinarie,1.051.300,1.064.000,1.070.700,969.600,1.159.200
Risultato operativo,86.900,69.300,103.200,30.500,100.700
Costo dell'indebitamento finanziario netto,7.100,4.900,5.100,5.800,7.500
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,61.100,51.700,79.900,29.100,69.500
Utile netto: quota del gruppo,38.400,32.100,51.000,16.500,42.100
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
