Millenium,2023,2022,2021,2020,2019
Fatturato,115.037,104.852,93.955,73.925,81.284
Proventi dalle attività ordinarie,115.037,104.852,93.955,73.925,81.284
Risultato operativo,6.890,7.506,6.620,3.145,1.407
Costo dell'indebitamento finanziario netto,2.076,1.093,621,586,1.019
Risultato delle aziende associate al bilancio di Gruppo,0,0,-308,96,33
Risultato netto delle attività dismesse,,,,,
Utile netto,3.535,5.614,4.271,1.822,-240
Utile netto: quota del gruppo,3.463,5.583,4.263,1.792,-139
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
