Millenium,2023,2022,2021,2020,2019
Fatturato,1.535.166,1.512.719,1.358.899,1.017.808,1.374.777
Proventi dalle attività ordinarie,1.535.166,1.512.719,1.358.899,1.017.808,1.374.777
Risultato operativo,126.914,90.850,120.773,-1.657,-83.977
Costo dell'indebitamento finanziario netto,59.476,53.476,66.262,68.809,72.407
Risultato delle aziende associate al bilancio di Gruppo,0,-7,0,-136,1.095
Risultato netto delle attività dismesse,,,,,
Utile netto,52.374,39.572,48.640,35.108,-140.378
Utile netto: quota del gruppo,52.303,39.202,48.500,35.037,-140.389
Chiusura esercizio fiscale,2024-01-31,2023-01-31,2022-01-31,2021-01-31,2020-01-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
