Millenium,2023,2022,2021,2020,2019
Fatturato,131.307,132.491,116.203,128.371,139.732
Proventi dalle attività ordinarie,135.214,135.334,119.874,131.858,143.109
Risultato operativo,16.550,17.514,15.814,9.338,10.375
Costo dell'indebitamento finanziario netto,-546,176,400,455,398
Risultato delle aziende associate al bilancio di Gruppo,30,24,20,-2,180
Risultato netto delle attività dismesse,-205,-3.464,1.777,,
Utile netto,11.653,9.988,13.692,4.353,7.042
Utile netto: quota del gruppo,11.653,9.988,13.692,4.353,7.042
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
