Millenium,2023,2022,2021,2020,2019
Fatturato,33.267,30.546,22.095,17.804.661,15.106.031
Acquisti consumati,3.444,4.061,2.319,1.345.708,1.213.984
Spese per il personale,8.242,7.101,6.011,5.120.339,4.675.383
Risultato d'esercizio,1.881,2.201,1.370,727.222,626.385
Imposte sugli utili,-22,430,83,120.914,46.274
Utile netto,1.412,1.471,1.055,1.096.417,580.833
Utile netto: quota del gruppo,1.121,1.207,861,1.059.139,580.833
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - unità,EUR - unità
Principi Contabili,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
