Millenium,2023,2022,2021,2020,2019
Fatturato,9.419.388,13.047.463,17.907.085,9.439,17.496
Acquisti consumati,4.688.484,8.641.830,12.118.301,6.830,13.087
Spese per il personale,3.758.573,4.034.026,4.523.681,4.147,5.162
Risultato d'esercizio,-1.598.985,-1.845.054,-3.943.462,-7.724,-9.132
Imposte sugli utili,-349.782,-162.367,-1.132.260,-541,2.261
Utile netto,-1.948.819,-2.118.090,-3.371.057,-7.909,-11.965
Utile netto: quota del gruppo,-1.948.819,-2.118.090,-3.371.057,-7.909,-11.965
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - unità,EUR - unità,EUR - unità,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
