Millenium,2023,2022,2021,2020,2019
Fatturato,424.737,387.591,338.126,363.296,227.416
Proventi dalle attività ordinarie,432.357,392.033,343.075,365.212,230.585
Risultato operativo,48.036,28.955,82.340,118.998,45.664
Costo dell'indebitamento finanziario netto,21.447,8.799,2.886,3.277,4.337
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,13.642,24.120,67.604,78.083,33.092
Utile netto: quota del gruppo,13.647,24.098,67.590,78.063,33.083
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
