Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,1.234.014,943.160,803.810,747.786,654.817
Oneri generali d'esercizio,501.940,463.544,232.675,217.570,226.722
Risultato di gestione lordo,732.074,479.616,544.917,504.776,405.231
Costo del rischio,-25.302,-15.238,-51.593,-37.420,-29.122
Risultato di gestione,706.772,464.378,493.324,467.356,376.109
Risultato delle aziende associate al bilancio di Gruppo,-263,-276,-26,0,
Risultato corrente ante imposte,872.238,604.362,494.403,461.094,383.486
Utile netto,609.101,428.505,380.711,323.571,288.365
Utile netto: quota del gruppo,609.101,428.505,380.711,323.571,288.365
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
