Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,87.525,86.890,90.298,68.057,58.675
Oneri generali d'esercizio,63.731,62.842,59.282,48.719,42.891
Risultato di gestione lordo,23.794,24.048,29.357,17.676,14.215
Costo del rischio,-147,6,-100,-46,
Risultato di gestione,23.647,24.054,29.257,17.630,14.215
Risultato delle aziende associate al bilancio di Gruppo,0,-44,-41,0,-524
Risultato corrente ante imposte,23.647,24.010,29.216,17.630,13.691
Utile netto,16.754,17.268,22.071,12.896,9.505
Utile netto: quota del gruppo,16.059,15.247,21.512,12.250,9.505
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
