Millenium,2023,2022,2021,2020,2019
Fatturato,4.244,3.496,3.285,2.753,2.635
Proventi dalle attività ordinarie,4.288,3.515,3.297,2.753,2.635
Risultato operativo,1.271,1.328,1.423,1.380,1.452
Costo dell'indebitamento finanziario netto,265,155,117,154,202
Risultato delle aziende associate al bilancio di Gruppo,410,144,294,249,216
Risultato netto delle attività dismesse,,,,,
Utile netto,1.145,672,1.500,1.101,1.090
Utile netto: quota del gruppo,1.135,671,1.496,1.101,1.090
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
