Millenium,2023,2022,2021,2020,2019
Fatturato,962.826,906.215,798.706,735.595,864.792
Proventi dalle attività ordinarie,1.011.314,952.780,836.579,771.295,902.891
Risultato operativo,172.670,148.333,98.286,71.124,170.586
Costo dell'indebitamento finanziario netto,17.541,9.278,-4.078,5.535,4.339
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,112.710,104.497,78.031,53.972,118.268
Utile netto: quota del gruppo,112.921,105.004,78.372,54.283,118.432
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
