Millenium,2023,2022,2021,2020,2019
Fatturato,224.394,150.758,96.363,68.753,59.091
Proventi dalle attività ordinarie,224.394,150.758,96.363,68.753,59.091
Risultato operativo,20.187,13.911,9.602,3.151,3.552
Costo dell'indebitamento finanziario netto,2.631,761,171,162,241
Risultato delle aziende associate al bilancio di Gruppo,-740,-149,0,0,39
Risultato netto delle attività dismesse,,,,,
Utile netto,15.512,11.988,7.839,4.715,448
Utile netto: quota del gruppo,15.512,11.988,7.874,4.474,314
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
