Millenium,2023,2022,2021
Fatturato,19.183,21.637,15.410
Acquisti consumati,1.024,1.591,115
Spese per il personale,2.097,4.898,2.047
Risultato d'esercizio,3.107,326,217
Imposte sugli utili,819,229,554
Utile netto,2.034,1,1.515
Utile netto: quota del gruppo,2.034,1,151
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP
