Millenium,2023,2022,2021,2020,2019
Fatturato,145.598,109.212,69.506,52.584,55.603
Acquisti consumati,28.828,28.450,19.787,15.184,17.419
Spese per il personale,37.238,25.382,15.166,12.406,9.239
Risultato d'esercizio,8.386,6.882,5.266,3.566,5.491
Imposte sugli utili,4.712,2.535,1.467,456,1.644
Utile netto,23.385,4.063,3.674,2.996,3.793
Utile netto: quota del gruppo,21.119,2.593,2.999,2.270,3.793
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
