Millenium,2023,2022,2021,2020,2019
Fatturato,143.550,111.963,57.788,66.389,125.135
Proventi dalle attività ordinarie,145.064,134.555,58.489,67.490,125.135
Risultato operativo,25.784,35.961,-8.369,-17.394,31.067
Costo dell'indebitamento finanziario netto,1.641,850,728,558,436
Risultato delle aziende associate al bilancio di Gruppo,0,0,0,0,0
Risultato netto delle attività dismesse,,,,,
Utile netto,16.706,31.109,-6.717,-13.590,20.852
Utile netto: quota del gruppo,16.706,31.109,-6.717,-13.590,20.852
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
