Millenium,2023,2022,2021,2020,2019
Fatturato,409.274,548.929,391.737,317.457,204.355
Proventi dalle attività ordinarie,409.274,548.929,391.737,317.457,204.355
Risultato operativo,79.842,208.446,149.899,136.494,73.752
Costo dell'indebitamento finanziario netto,-8.210,-961,164,-27,0
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,97.376,148.215,119.347,96.607,66.141
Utile netto: quota del gruppo,96.999,147.904,118.321,96.607,66.141
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
