Millenium,2023,2022,2021,2020,2019
Fatturato,904.737,903.003,807.345,743.993,884.860
Proventi dalle attività ordinarie,904.737,903.003,807.345,743.993,884.860
Risultato operativo,84.183,72.691,45.199,14.800,62.319
Costo dell'indebitamento finanziario netto,7.918,1.916,393,4.211,3.962
Risultato delle aziende associate al bilancio di Gruppo,4.155,-199,-1.510,-7.262,-8.131
Risultato netto delle attività dismesse,,,,,-1.069
Utile netto,62.576,51.543,44.212,4.504,29.402
Utile netto: quota del gruppo,62.411,52.067,44.206,4.503,28.200
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
