Millenium,2023,2022,2021,2020,2019
Fatturato,806.288,719.025,609.742,508.342,666.418
Proventi dalle attività ordinarie,808.091,721.490,609.742,509.679,668.931
Risultato operativo,97.383,82.753,78.902,53.492,107.353
Costo dell'indebitamento finanziario netto,-3.623,-254,379,321,374
Risultato delle aziende associate al bilancio di Gruppo,,,,883,999
Risultato netto delle attività dismesse,,,,,
Utile netto,77.168,63.875,63.265,36.448,83.745
Utile netto: quota del gruppo,77.168,63.587,63.065,36.004,83.205
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
