Millenium,2023,2022,2021,2020,2019
Fatturato,94.018,82.102,45.233,31.975,56.287
Proventi dalle attività ordinarie,94.519,82.409,45.233,32.516,56.519
Risultato operativo,19.531,18.138,6.553,2.889,10.286
Costo dell'indebitamento finanziario netto,107,121,228,101,-841
Risultato delle aziende associate al bilancio di Gruppo,,,-19,0,
Risultato netto delle attività dismesse,,,,,
Utile netto,13.994,12.243,4.975,1.917,8.612
Utile netto: quota del gruppo,13.994,12.243,4.975,,8.612
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
