Millenium,2023,2022,2021,2020,2019
Fatturato,59.061,59.285,60.785,56.058,49.793
Proventi dalle attività ordinarie,60.212,60.830,61.284,56.456,49.793
Risultato operativo,2.861,3.713,5.355,5.027,568
Costo dell'indebitamento finanziario netto,293,222,367,254,201
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,1.930,2.405,3.731,3.810,100
Utile netto: quota del gruppo,1.930,2.251,3.438,3.495,-2
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
