Millenium,2023,2022,2021,2020,2019
Fatturato,226.521,227.442,185.814,124.281,152.363
Proventi dalle attività ordinarie,226.521,227.442,185.814,124.281,152.363
Risultato operativo,16.035,19.408,28.812,9.168,20.969
Costo dell'indebitamento finanziario netto,656,289,752,622,568
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,10.616,12.189,24.338,6.197,15.771
Utile netto: quota del gruppo,10.435,12.048,24.247,6.188,15.740
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
