Millenium,2023,2022,2021,2020,2019
Fatturato,52.336,54.854,41.859,24.624,24.355
Acquisti consumati,29.566,27.773,20.259,13.285,11.399
Spese per il personale,6.177,3.885,2.957,2.393,2.109
Risultato d'esercizio,-7.261,3.243,3.834,1.558,1.338
Imposte sugli utili,-44,1.107,1.146,528,491
Utile netto,-15.170,2.032,2.377,981,757
Utile netto: quota del gruppo,-15.170,2.091,2.377,981,757
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
