Millenium,2023,2022,2021,2020,2019
Fatturato,180.269,175.595,149.420,113.477,152.227
Proventi dalle attività ordinarie,180.269,175.595,149.420,113.477,152.227
Risultato operativo,14.833,11.867,9.197,-4.659,-6.753
Costo dell'indebitamento finanziario netto,,115,80,95,70
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,10.528,6.502,4.444,-5.792,-7.755
Utile netto: quota del gruppo,10.528,6.502,4.444,-6.115,-7.714
Chiusura esercizio fiscale,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
