Millenium,2023,2022,2021
Fatturato,14.764,14.153,12.006
Proventi dalle attività ordinarie,14.764,14.153,12.006
Risultato operativo,2.451,3.062,2.512
Costo dell'indebitamento finanziario netto,111,29,72
Risultato delle aziende associate al bilancio di Gruppo,,,
Risultato netto delle attività dismesse,,,
Utile netto,1.986,2.145,1.762
Utile netto: quota del gruppo,1.986,2.145,1.762
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31
Durata esercizio fiscale (mesi),12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS
