Millenium,2022,2021,2020,2019,2018
Fatturato,2.867.700,2.362.603,2.022.454,1.762.641,1.539.854
Proventi dalle attività ordinarie,2.867.700,2.362.603,2.022.454,1.762.641,1.539.854
Risultato operativo,142.665,114.195,84.002,63.897,52.718
Costo dell'indebitamento finanziario netto,-14.030,-3.861,3.447,2.550,2.287
Risultato delle aziende associate al bilancio di Gruppo,1.572,1.744,2.345,1.698,823
Risultato netto delle attività dismesse,,,,,
Utile netto,90.217,78.619,56.786,42.188,33.362
Utile netto: quota del gruppo,84.453,73.519,52.272,37.914,29.284
Chiusura esercizio fiscale,2023-04-30,2022-04-30,2021-04-30,2020-04-30,2019-04-30
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
