Millenium,2023,2022,2021,2020,2019
Fatturato,14.492,22.938,11.352,6.655,7.122
Proventi dalle attività ordinarie,14.758,23.156,11.352,6.655,7.122
Risultato operativo,1.017,682,660,554,687
Costo dell'indebitamento finanziario netto,140,90,70,76,98
Risultato delle aziende associate al bilancio di Gruppo,0,2,2,0,4
Risultato netto delle attività dismesse,3,41,-4,-6,1
Utile netto,683,448,550,368,393
Utile netto: quota del gruppo,659,401,504,364,389
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni,EUR - milioni
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
