Millenium,2023,2022,2021,2020,2019
Fatturato,251.917,245.245,194.286,170.655,200.666
Proventi dalle attività ordinarie,251.917,245.245,194.286,170.655,200.666
Risultato operativo,11.062,14.063,5.687,-863,8.374
Costo dell'indebitamento finanziario netto,10.950,5.690,3.942,4.660,4.283
Risultato delle aziende associate al bilancio di Gruppo,-8,44,-25,129,24
Risultato netto delle attività dismesse,,,,,0
Utile netto,-2.698,7.916,1.209,-6.811,2.981
Utile netto: quota del gruppo,-2.969,7.862,1.195,-6.828,2.967
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
