Millenium,2023,2022,2021,2020,2019
Fatturato,180.794,163.651,134.911,163.896,124.911
Proventi dalle attività ordinarie,180.794,163.651,134.911,163.896,124.911
Risultato operativo,45.990,31.911,33.838,29.151,21.573
Costo dell'indebitamento finanziario netto,9.320,5.049,1.540,1.475,932
Risultato delle aziende associate al bilancio di Gruppo,3.566,7.871,19.892,18.310,648
Risultato netto delle attività dismesse,56,1.467,0,,478.737
Utile netto,36.677,32.440,45.326,58.701,493.216
Utile netto: quota del gruppo,36.176,32.665,45.326,58.701,493.216
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
