Millenium,2023,2022,2021,2020,2019
Fatturato,62.038,48.704,42.247,32.377,32.047
Acquisti consumati,28.354,21.847,15.701,13.109,12.930
Spese per il personale,14.762,12.667,10.806,9.646,9.394
Risultato d'esercizio,9.282,8.787,7.005,4.190,2.719
Imposte sugli utili,1.854,1.827,1.519,786,341
Utile netto,6.494,6.475,5.271,3.195,2.103
Utile netto: quota del gruppo,4.961,5.206,4.459,2.699,1.575
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
