Millenium,2023,2022,2021,2020,2019
Fatturato,2.117.983,1.891.114,1.483.803,1.250.191,1.182.528
Proventi dalle attività ordinarie,2.117.983,1.891.114,1.483.803,1.250.191,1.182.528
Risultato operativo,292.745,285.473,209.283,169.531,155.324
Costo dell'indebitamento finanziario netto,5.789,2.938,1.426,1.501,1.500
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,188.459,192.184,152.408,124.206,116.590
Utile netto: quota del gruppo,186.699,191.016,150.672,123.598,113.858
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
