Millenium,2023,2022,2021,2020,2019
Prod. Partecipazioni,39.644,41.255.898,59.088.806,48.300.879,44.064.555
Costo personale,16.979,18.721.793,29.549.222,26.114.441,18.598.007
Risultato operativo,-8.836,-8.885.147,-10.485.814,-10.445.697,-5.171.504
Plusvalenze su cessioni,,,,,
Imposte sugli utili,-53,920.213,205.696,118.978,112.895
Utile netto,-8.889,17.740.233,-5.646.778,-14.754.083,-6.508.028
Utile netto: quota del gruppo,-8.891,17.738.346,-5.649.463,-14.753.386,-6.508.028
Chiusura esercizio fiscale,2023-08-31,2022-08-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,8,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - unità,EUR - unità,EUR - unità,EUR - milioni
Principi Contabili,US GAAP,US GAAP,US GAAP,US GAAP,US GAAP
