Millenium,2023,2022,2021,2020,2019
Fatturato,66.431,74.737,66.372,51.682,64.898
Proventi dalle attività ordinarie,66.431,74.737,66.372,51.682,64.898
Risultato operativo,2.983,8.784,8.655,1.348,7.264
Costo dell'indebitamento finanziario netto,1.570,1.161,832,567,436
Risultato delle aziende associate al bilancio di Gruppo,49,47,-2,-740,45
Risultato netto delle attività dismesse,,,,,
Utile netto,650,4.453,5.394,795,4.317
Utile netto: quota del gruppo,610,4.420,5.399,882,4.349
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
