Millenium,2023,2022,2021,2020,2019
Fatturato,69.277,48.210,33.342,29.555,36.934
Proventi dalle attività ordinarie,69.277,48.210,33.342,29.555,36.934
Risultato operativo,16.641,9.900,2.581,2.027,3.977
Costo dell'indebitamento finanziario netto,-22,15,14,15,25
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,12.062,6.347,2.263,1.739,3.015
Utile netto: quota del gruppo,12.062,6.347,2.263,1.739,3.015
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
