Millenium,2023,2022,2021,2020,2019
Fatturato,161.604,196.474,176.429,127.843,132.985
Proventi dalle attività ordinarie,161.604,196.474,176.429,127.843,132.985
Risultato operativo,4.642,6.104,9.226,5.488,7.130
Costo dell'indebitamento finanziario netto,2.065,2.207,1.196,1.487,1.894
Risultato delle aziende associate al bilancio di Gruppo,,,,,0
Risultato netto delle attività dismesse,,,,,0
Utile netto,2.848,8.437,6.688,3.536,3.961
Utile netto: quota del gruppo,2.848,8.437,6.688,3.536,3.961
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
