Millenium,2023,2022,2021,2020,2019
Fatturato,3.304,3.563,3.825,2.822,2.709
Acquisti consumati,425,678,370,534,494
Spese per il personale,1.476,1.391,1.228,1.127,1.025
Risultato d'esercizio,1.059,1.601,1.248,1.201,940
Imposte sugli utili,226,383,164,91,83
Utile netto,1.076,1.414,1.110,1.109,857
Utile netto: quota del gruppo,1.076,1.414,1.110,1.109,857
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
