Millenium,2023,2022,2021,2020,2019
Fatturato,26.447,22.272,13.509,8.987,8.047.696
Proventi dalle attività ordinarie,26.447,22.272,13.509,8.987,
Risultato operativo,1.713,1.310,1.016,1.128,
Costo dell'indebitamento finanziario netto,166,90,70,55,
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,,,,
Utile netto,1.178,875,714,801,558.641
Utile netto: quota del gruppo,1.159,875,803,801,558.641
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - unità
Principi Contabili,IFRS,IFRS,IFRS,IFRS,Local GAAP
