Millenium,2023,2022,2021,2020,2019
Prodotto netto bancario,802.543,642.530,779.316,617.613,577.998
Oneri generali d'esercizio,292.851,274.140,206.617,194.262,182.972
Risultato di gestione lordo,509.692,368.390,537.045,390.393,365.071
Costo del rischio,-64.736,-45.935,-144.010,-42.772,-37.890
Risultato di gestione,444.956,322.455,393.035,347.621,327.181
Risultato delle aziende associate al bilancio di Gruppo,-1.027,-103,-266,-331,-1.867
Risultato corrente ante imposte,443.847,322.348,392.746,347.290,325.314
Utile netto,326.078,212.973,323.107,274.894,272.122
Utile netto: quota del gruppo,326.136,213.034,323.103,274.919,272.139
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
