Millenium,2023,2022,2021,2020,2019
Fatturato,6.693,33.978,92.772,69.079,93.397
Proventi dalle attività ordinarie,6.693,33.978,92.772,69.079,93.397
Risultato operativo,2.850,22.863,29.019,10.418,30.843
Costo dell'indebitamento finanziario netto,-530,865,4.850,4.448,6.311
Risultato delle aziende associate al bilancio di Gruppo,,,,,
Risultato netto delle attività dismesse,,0,,,
Utile netto,1.451,15.839,16.023,4.030,16.620
Utile netto: quota del gruppo,1.451,15.839,16.023,4.030,16.620
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
