Millenium,2023,2022,2021,2020,2019
Fatturato,14.223,14.697,9.717,6.463,5.601
Acquisti consumati,5.158,9.879,3.533,2.659,2.265
Spese per il personale,1.391,1.216,959,652,468
Risultato d'esercizio,538,2.608,595,409,1.111
Imposte sugli utili,64,587,167,115,152
Utile netto,35,1.628,351,223,817
Utile netto: quota del gruppo,35,1.628,351,223,817
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,Local GAAP,Local GAAP,Local GAAP,Local GAAP,Local GAAP
