Millenium,2023,2022,2021,2020,2019
Premi emessi,9.571,8.549,12.349.100,11.810.400,13.715.800
Prodotto netto bancario,,,1.386.800,1.363.100,1.486.500
Prodotti finanziari al netto degli oneri (escluso costo di indebitamento netto),-759,-1.455,929.300,789.100,1.426.100
Proventi dalle attività ordinarie,10.149,7.442,15.137.600,14.321.700,16.982.400
Risultato operativo,-342,-746,1.111.600,1.189.300,1.456.400
Spese di finanziamento,-1.266,-1.273,160.800,163.500,169.100
Risultato delle aziende associate al bilancio di Gruppo,641,348,,,
Risultato netto delle attività dismesse,0,0,,,
Utile netto,1.331,675,796.200,864.100,1.086.600
Utile netto: quota del gruppo,1.101,525,626.600,707.400,902.500
Chiusura esercizio fiscale,2023-12-31,2022-12-31,2021-12-31,2020-12-31,2019-12-31
Durata esercizio fiscale (mesi),12,12,12,12,12
Valuta e unità di misura,EUR - milioni,EUR - milioni,EUR - migliaia,EUR - migliaia,EUR - migliaia
Principi Contabili,IFRS,IFRS,IFRS,IFRS,IFRS
